CustomerId,Frequency,Monetary,Stability,Recency
CustomerId_1,1,-10000.0,0.0,83
CustomerId_10,1,-10000.0,0.0,83
CustomerId_1001,5,20000.0,6558.963332722634,89
CustomerId_1002,11,4225.0,560.4989660196449,89
CustomerId_1002,11,4225.0,560.4989660196449,82
CustomerId_1002,11,4225.0,560.4989660196449,66
CustomerId_1002,11,4225.0,560.4989660196449,64
CustomerId_1002,11,4225.0,560.4989660196449,27
CustomerId_1002,11,4225.0,560.4989660196449,25
CustomerId_1003,6,20000.0,6030.478145774734,11
CustomerId_1004,1,2000.0,0.0,52
CustomerId_1005,9,48800.0,5983.6815126178335,47
CustomerId_1005,9,48800.0,5983.6815126178335,46
CustomerId_1006,1,1000.0,0.0,64
CustomerId_1007,1,28000.0,0.0,81
CustomerId_1008,2,20000.0,0.0,65
CustomerId_1009,1,500.0,0.0,27
CustomerId_1010,7,26335.0,4971.798816946486,54
CustomerId_1010,7,26335.0,4971.798816946486,41
CustomerId_1012,74,124906.0,3441.4863138083697,88
CustomerId_1012,74,124906.0,3441.4863138083697,85
CustomerId_1012,74,124906.0,3441.4863138083697,79
CustomerId_1012,74,124906.0,3441.4863138083697,77
CustomerId_1012,74,124906.0,3441.4863138083697,76
CustomerId_1012,74,124906.0,3441.4863138083697,75
CustomerId_1012,74,124906.0,3441.4863138083697,74
CustomerId_1012,74,124906.0,3441.4863138083697,72
CustomerId_1012,74,124906.0,3441.4863138083697,71
CustomerId_1012,74,124906.0,3441.4863138083697,70
CustomerId_1012,74,124906.0,3441.4863138083697,69
CustomerId_1012,74,124906.0,3441.4863138083697,68
CustomerId_1012,74,124906.0,3441.4863138083697,65
CustomerId_1012,74,124906.0,3441.4863138083697,55
CustomerId_1012,74,124906.0,3441.4863138083697,53
CustomerId_1012,74,124906.0,3441.4863138083697,50
CustomerId_1012,74,124906.0,3441.4863138083697,48
CustomerId_1012,74,124906.0,3441.4863138083697,45
CustomerId_1012,74,124906.0,3441.4863138083697,41
CustomerId_1012,74,124906.0,3441.4863138083697,20
CustomerId_1012,74,124906.0,3441.4863138083697,19
CustomerId_1012,74,124906.0,3441.4863138083697,17
CustomerId_1012,74,124906.0,3441.4863138083697,16
CustomerId_1012,74,124906.0,3441.4863138083697,12
CustomerId_1012,74,124906.0,3441.4863138083697,8
CustomerId_1012,74,124906.0,3441.4863138083697,5
CustomerId_1012,74,124906.0,3441.4863138083697,4
CustomerId_1014,8,763880.0,119332.84340149493,50
CustomerId_1014,8,763880.0,119332.84340149493,49
CustomerId_1016,5,20000.0,6745.368781616021,4
CustomerId_1020,203,292195.0,2500.4482251946347,89
CustomerId_1020,203,292195.0,2500.4482251946347,87
CustomerId_1020,203,292195.0,2500.4482251946347,86
CustomerId_1020,203,292195.0,2500.4482251946347,85
CustomerId_1020,203,292195.0,2500.4482251946347,84
CustomerId_1020,203,292195.0,2500.4482251946347,83
CustomerId_1020,203,292195.0,2500.4482251946347,81
CustomerId_1020,203,292195.0,2500.4482251946347,80
CustomerId_1020,203,292195.0,2500.4482251946347,78
CustomerId_1020,203,292195.0,2500.4482251946347,77
CustomerId_1020,203,292195.0,2500.4482251946347,76
CustomerId_1020,203,292195.0,2500.4482251946347,75
CustomerId_1020,203,292195.0,2500.4482251946347,74
CustomerId_1020,203,292195.0,2500.4482251946347,66
CustomerId_1020,203,292195.0,2500.4482251946347,65
CustomerId_1020,203,292195.0,2500.4482251946347,58
CustomerId_1020,203,292195.0,2500.4482251946347,38
CustomerId_1020,203,292195.0,2500.4482251946347,37
CustomerId_1020,203,292195.0,2500.4482251946347,26
CustomerId_1021,1,5000.0,0.0,77
CustomerId_1022,1,7000.0,0.0,34
CustomerId_1025,16,17200.0,1803.6536992079898,19
CustomerId_1025,16,17200.0,1803.6536992079898,16
CustomerId_1025,16,17200.0,1803.6536992079898,14
CustomerId_1025,16,17200.0,1803.6536992079898,12
CustomerId_1025,16,17200.0,1803.6536992079898,11
CustomerId_1027,14,26770.0,3484.2705418482087,23
CustomerId_1027,14,26770.0,3484.2705418482087,6
CustomerId_1027,14,26770.0,3484.2705418482087,0
CustomerId_1028,1,500.0,0.0,25
CustomerId_1029,9,51000.0,8692.669325356856,90
CustomerId_1029,9,51000.0,8692.669325356856,81
CustomerId_1029,9,51000.0,8692.669325356856,76
CustomerId_1029,9,51000.0,8692.669325356856,71
CustomerId_1029,9,51000.0,8692.669325356856,7
CustomerId_1030,8,2350.0,713.8614811612364,42
CustomerId_1030,8,2350.0,713.8614811612364,31
CustomerId_1030,8,2350.0,713.8614811612364,30
CustomerId_1031,50,106838.8,4615.395748241059,71
CustomerId_1031,50,106838.8,4615.395748241059,70
CustomerId_1031,50,106838.8,4615.395748241059,69
CustomerId_1031,50,106838.8,4615.395748241059,63
CustomerId_1031,50,106838.8,4615.395748241059,61
CustomerId_1031,50,106838.8,4615.395748241059,60
CustomerId_1031,50,106838.8,4615.395748241059,58
CustomerId_1031,50,106838.8,4615.395748241059,57
CustomerId_1031,50,106838.8,4615.395748241059,56
CustomerId_1031,50,106838.8,4615.395748241059,54
CustomerId_1031,50,106838.8,4615.395748241059,53
CustomerId_1031,50,106838.8,4615.395748241059,47
CustomerId_1031,50,106838.8,4615.395748241059,26
CustomerId_1031,50,106838.8,4615.395748241059,25
CustomerId_1031,50,106838.8,4615.395748241059,24
CustomerId_1031,50,106838.8,4615.395748241059,21
CustomerId_1031,50,106838.8,4615.395748241059,19
CustomerId_1031,50,106838.8,4615.395748241059,16
CustomerId_1031,50,106838.8,4615.395748241059,14
CustomerId_1032,2,2000.0,0.0,33
CustomerId_1033,2,950.0,742.4621202458749,66
CustomerId_1034,16,40508.0,7896.613345816885,82
CustomerId_1034,16,40508.0,7896.613345816885,81
CustomerId_1034,16,40508.0,7896.613345816885,78
CustomerId_1034,16,40508.0,7896.613345816885,74
CustomerId_1034,16,40508.0,7896.613345816885,73
CustomerId_1034,16,40508.0,7896.613345816885,71
CustomerId_1034,16,40508.0,7896.613345816885,61
CustomerId_1034,16,40508.0,7896.613345816885,60
CustomerId_1034,16,40508.0,7896.613345816885,8
CustomerId_1036,3,-50.0,1000.4165798972613,90
CustomerId_1038,5,19000.0,6685.805860178712,11
CustomerId_1039,30,248895.0,10395.940284387541,68
CustomerId_1039,30,248895.0,10395.940284387541,67
CustomerId_1039,30,248895.0,10395.940284387541,66
CustomerId_1039,30,248895.0,10395.940284387541,12
CustomerId_1039,30,248895.0,10395.940284387541,11
CustomerId_1040,1,50000.0,0.0,37
CustomerId_1043,6,14000.0,6976.14984548545,46
CustomerId_1044,16,21848.5,2064.1874064527988,88
CustomerId_1044,16,21848.5,2064.1874064527988,85
CustomerId_1044,16,21848.5,2064.1874064527988,84
CustomerId_1044,16,21848.5,2064.1874064527988,75
CustomerId_1044,16,21848.5,2064.1874064527988,48
CustomerId_1044,16,21848.5,2064.1874064527988,47
CustomerId_1048,1,1000.0,0.0,42
CustomerId_1050,1,5000.0,0.0,53
CustomerId_1052,7,56900.0,18504.47822246589,44
CustomerId_1052,7,56900.0,18504.47822246589,23
CustomerId_1053,7,13788.0,1911.4446294435452,90
CustomerId_1053,7,13788.0,1911.4446294435452,89
CustomerId_1054,52,159000.0,6112.9647232247835,66
CustomerId_1054,52,159000.0,6112.9647232247835,65
CustomerId_1054,52,159000.0,6112.9647232247835,64
CustomerId_1054,52,159000.0,6112.9647232247835,60
CustomerId_1054,52,159000.0,6112.9647232247835,55
CustomerId_1054,52,159000.0,6112.9647232247835,54
CustomerId_1054,52,159000.0,6112.9647232247835,50
CustomerId_1054,52,159000.0,6112.9647232247835,48
CustomerId_1054,52,159000.0,6112.9647232247835,47
CustomerId_1054,52,159000.0,6112.9647232247835,44
CustomerId_1054,52,159000.0,6112.9647232247835,42
CustomerId_1054,52,159000.0,6112.9647232247835,41
CustomerId_1054,52,159000.0,6112.9647232247835,40
CustomerId_1054,52,159000.0,6112.9647232247835,39
CustomerId_1054,52,159000.0,6112.9647232247835,37
CustomerId_1054,52,159000.0,6112.9647232247835,12
CustomerId_1054,52,159000.0,6112.9647232247835,11
CustomerId_1054,52,159000.0,6112.9647232247835,8
CustomerId_1054,52,159000.0,6112.9647232247835,7
CustomerId_1054,52,159000.0,6112.9647232247835,5
CustomerId_1054,52,159000.0,6112.9647232247835,4
CustomerId_1055,5,5850.0,1338.6560424545207,90
CustomerId_1055,5,5850.0,1338.6560424545207,88
CustomerId_1055,5,5850.0,1338.6560424545207,81
